x_lan,y_lai,year,table,MAT,MWMT,MCMT,TD,MAP,AHM,DD<0,DD>5,DD<18,DD>18,NFFD,PAS,EMT,EXT,Eref,CMD
x_lan,y_lai,year,table,MAT,MWMT,MCMT,TD,MAP,AHM,DD<0,DD>5,DD<18,DD>18,NFFD,PAS,EMT,EXT,Eref,CMD
42.146755999999996,127.579518,year_1902,Annual_variables, 4.1, 19.9, -16.4, 36.3, 803, 17.6, 1371, 1847, 5116, 143, 175, 66, -8.4, 2.7, 703, 93
42.249140999999995,127.698043,year_1902,Annual_variables, 3, 18.2, -16.6, 34.8, 816, 15.9, 1450, 1554, 5448, 70, 170, 77, -8.4, 2.7, 636, 51
42.327611,127.77016699999999,year_1902,Annual_variables, 2.5, 17.7, -17, 34.7, 844, 14.8, 1504, 1459, 5608, 54, 164, 83, -8.4, 2.7, 627, 41
42.232539,127.77256000000001,year_1902,Annual_variables, 2.9, 18.2, -16.6, 34.7, 833, 15.5, 1451, 1546, 5457, 68, 170, 78, -8.5, 2.7, 635, 47
46.42093,130.663154,year_1902,Annual_variables, 2.5, 20.2, -20.7, 40.9, 606, 20.6, 1825, 1785, 5700, 147, 168, 22, -8.7, 3.4, 642, 134
41.956013,127.58660900000001,year_1902,Annual_variables, 2.8, 18, -16.3, 34.3, 820, 15.7, 1453, 1520, 5484, 63, 170, 83, -8.4, 2.7, 630, 46
46.000527000000005,131.462077,year_1902,Annual_variables, 3.1, 20.1, -20.1, 40.2, 670, 19.5, 1649, 1795, 5487, 144, 173, 26, -8.7, 3.3, 638, 126
45.278046,130.284033,year_1902,Annual_variables, 2.6, 19.8, -19.9, 39.7, 571, 22.1, 1724, 1741, 5617, 128, 162, 26, -8.7, 3.2, 671, 167
42.200489000000005,127.594757,year_1902,Annual_variables, 3.2, 18.5, -16.4, 34.9, 798, 16.5, 1425, 1605, 5369, 79, 173, 74, -8.4, 2.8, 644, 59
