lat,lng,el
52.730289,125.665673,429
52.662986,125.425313,440
52.658868,125.662654,350
52.5965,125.185629,408
52.588828,125.537779,370
52.514963,125.652689,393
52.434531,126.00273,354
52.324976,123.764417,750
52.325967,123.881454,885
52.254575,123.762401,735
52.252707,123.997372,520
52.17929,124.112,690
52.111143,123.526239,690
52.10988,123.995175,752
52.041926,123.409866,860
52.036445,123.525289,810
52.037194,123.991389,740
51.969532,123.29261,810
51.967791,123.524967,630
51.966017,123.873693,840
51.896659,123.176543,832
51.897313,123.290877,762
51.823347,123.75545,830
51.751974,123.638802,770
51.681047,123.52101,780
51.679773,123.637294,795
51.609078,123.405396,800
51.537688,123.289157,875
51.393889,123.173698,1150
51.321464,123.402656,920
52.241527,124.934016,660
52.170201,124.924913,690
52.16757,125.045979,665
52.03604,124.109681,920
52.02409,125.041012,510
51.957464,124.68813,498
51.955368,124.805176,800
51.813794,124.682423,710
51.81179,124.79894,670
51.749424,123.985729,900
51.744913,124.332075,840
51.743202,124.564992,550
51.742368,124.680043,800
51.676804,124.100649,900
51.671197,124.561382,810
51.670311,124.677781,600
51.668219,124.793247,675
51.602799,124.442953,660
51.592116,125.020261,740
51.527923,124.556231,710
51.525864,124.671904,675
51.464362,123.750013,940
51.462457,123.863657,750
51.461937,123.980071,860
51.39208,123.74817,960
52.301953,125.523229,315
52.163987,125.279111,425
52.083374,125.628338,420
51.797165,125.610365,460
51.666174,125.024118,650
51.854415,126.034076,390
51.86344,126.155501,325
51.72791,125.491024,550
51.50089,126.063512,410
51.504078,126.179378,365
51.216258,126.195842,450
51.222146,126.424446,360
51.229017,126.865248,190
51.078569,126.434387,389
51.081274,126.545212,375
51.003651,126.3239,478
51.012368,126.665647,343
51.013422,126.777714,353
50.935132,126.441795,420
51.448462,125.01528,600
51.440734,125.133969,575
51.374971,125.127217,540
51.312952,124.436597,790
51.312091,124.549951,810
51.2966,125.466208,480
51.235312,124.892395,540
51.230888,125.120551,531
51.089915,124.999724,530
51.009806,125.453425,420
50.9343,125.561936,505
50.869737,125.217325,417
50.802808,124.988108,500
50.723979,125.323633,420
50.722093,125.436649,439
50.71925,125.550229,398
50.64967,125.433267,481
50.648128,125.545399,445
50.438299,125.19693,400
50.432381,125.535932,344
50.292266,125.303655,366
50.219138,125.410951,350
51.31745,124.091397,820
51.174946,124.321878,615
50.95977,123.856029,650
50.813464,124.079029,650
50.804473,124.872337,675
50.659233,124.980666,445
50.589898,124.752341,430
50.589193,124.863784,419
53.103589,124.971217,366
53.334016,122.581675,515
53.335478,122.700312,480
53.336235,122.939894,360
53.186098,121.740929,600
53.119125,122.703776,590
53.042168,121.868167,828
53.04758,122.583635,560
53.407699,123.180894,470
53.406861,123.421055,560
53.335017,123.181142,300
53.263622,123.179297,430
53.048303,123.060796,590
52.974835,122.823065,620
52.760761,122.822809,670
52.399464,122.471833,770
53.477096,123.786317,450
53.190756,123.419939,440
53.189962,123.659034,410
53.118343,123.419412,471
53.118779,123.656944,530
53.18623,124.139366,387
52.971725,124.013738,410
52.968516,124.369769,490
52.82897,123.891406,530
52.8145,125.078323,410
52.666546,125.310146,430
52.252067,123.062634,760
52.256868,123.176342,920
52.171983,124.233991,580
52.108274,124.110641,822
51.681374,123.406214,670
51.393674,123.517913,950
52.243565,124.816513,640
52.092216,125.159492,590
51.604231,124.097941,850
51.457509,124.439763,610
52.016105,125.506321,390
51.085471,126.774019,300
50.937021,126.553815,338
51.303423,125.123219,470
50.860347,125.671057,420
51.176724,124.082366,550
51.166719,124.659914,680
50.953107,124.422969,630
50.734034,124.757431,475
42.673909,128.025318,608
42.647069,128.037468,601
42.773268,128.047454,562
42.737408,128.097827,677
42.449867,128.174463,683
42.430188,128.054453,733
42.412377,128.006127,771
42.413228,128.028698,761
42.539603,128.125112,650
42.529842,128.149761,640
42.45371,128.272734,689
42.380141,128.478875,716
42.342456,128.236266,0
42.308378,128.347836,903
42.252356,128.323124,967
42.396033,128.114211,0
42.386808,128.151343,0
42.340439,128.139614,0
42.342328,128.297926,0
42.333072,128.151216,0
42.323005,128.22198,0
42.306066,128.297868,0
42.306903,128.140531,0
42.287734,128.175699,0
42.251712,128.213842,995
42.162044,128.205745,1196
42.109734,128.40761,1220
42.091742,128.34878,1261
42.072107,128.384566,1267
42.037525,128.409887,1282
42.628955,128.050231,567
42.503559,128.113376,670
42.556374,128.161164,632
42.5046,128.183233,650
42.487215,128.19949,654
42.41562,128.33307,680
42.396,128.17489,0
42.163909,128.323898,1160
42.126953,128.275312,1270
42.736886,128.036031,703
42.521613,128.113997,670
42.358343,127.969206,840
42.557774,128.136402,650
42.109099,128.396287,1235
43.128566,127.612116,650
43.112176,127.74789,671
43.039928,127.675548,630
43.038763,127.68777,0
43.02067,127.639147,0
43.003309,127.676936,0
42.967638,127.677063,620
42.987502,127.773867,590
42.898543,127.873959,578
42.899146,128.070384,604
43.588429,128.788417,770
43.022464,127.749028,637
43.00673,128.018391,715
42.126104,127.320032,740
42.116051,127.296381,754
42.089465,127.321954,770
42.044945,127.357838,640
42.034912,127.371416,640
42.019746,127.443687,860
41.999656,127.276389,740
41.981591,127.347631,778
41.974637,127.337423,770
41.955574,127.479889,810
41.942782,127.143965,762
41.891559,127.326206,840
41.883373,127.338443,830
41.75892,127.460733,900
41.795024,127.484628,852
41.786482,127.472488,880
41.788139,127.48953,880
41.77798,127.654356,971
41.76721,127.426081,890
41.757253,127.341629,856
41.731505,127.5701,870
41.713964,127.558317,900
41.714541,127.569947,910
41.696996,127.570853,920
41.649516,127.391883,860
41.639846,127.356826,858
42.026818,127.360032,640
42.007785,127.260888,770
41.989907,127.275253,780
41.973657,127.396335,830
41.939658,126.962961,994
41.932905,127.096605,925
41.822583,127.544532,929
41.803901,127.533849,898
41.795582,127.545155,925
41.769977,127.677698,1013
41.749363,127.401763,880
41.730345,127.378366,870
41.722304,127.450684,870
41.714023,127.498945,900
41.706609,127.631264,982
41.684814,127.343479,873
41.660391,127.573163,940
42.446862,127.153812,646
42.592408,127.222424,555
42.583886,127.283378,597
42.521865,127.357096,599
42.451121,127.420673,711
42.489051,127.454019,689
42.370828,127.481701,748
42.471736,127.614115,786
42.400378,127.676757,884
42.374746,127.751077,965
42.327078,127.567822,795
42.400002,127.652145,868
42.364627,127.653254,895
42.355189,127.702927,912
42.346286,127.702928,887
42.337435,127.729283,909
42.526709,127.250187,580
42.493801,127.309771,629
42.459699,127.406939,692
42.443349,127.518139,746
42.416393,127.49371,721
42.371148,127.519279,857
42.524483,127.528502,694
42.525292,127.552433,695
42.516185,127.564909,747
42.506882,127.553102,754
42.488981,127.528009,740
42.391121,127.712862,894
42.363396,127.592756,820
42.291341,127.582467,805
42.357263,127.798178,950
42.329031,127.677914,877
42.703644,126.876948,620
42.514344,126.772828,640
42.381019,126.985343,583
42.310147,126.563524,800
42.315559,126.854558,685
42.289277,126.891629,847
42.279772,126.829916,737
42.268805,126.746736,750.8
42.236388,126.941048,952
42.187781,126.737283,830
42.177097,126.652753,856.8
42.153633,126.760096,769.2
42.354312,126.974703,599
42.261448,126.831587,745
42.242646,126.384013,907
42.221348,126.667584,910.8
42.215671,126.821493,729.7
42.196796,126.724322,917
41.995057,127.07011,876
41.975083,126.914853,696
41.990996,127.087778,913
43.525842,130.299658,715
43.52396,130.460751,618
43.523639,130.484975,720
43.417674,130.322346,812
43.416246,130.359653,789
43.611789,130.534758,692
43.596911,130.399418,628
43.594214,130.598272,678
43.592675,130.610454,640
43.577836,130.462276,590
43.560478,130.398636,542
43.559938,130.49875,680
43.557961,130.573576,595
43.558142,130.634447,718
43.542654,130.486641,732
43.540874,130.595947,636
43.486917,130.50834,747
43.486818,130.554706,886
43.467831,130.582024,777
43.468246,130.595542,736
43.450965,130.556369,845
43.45069,130.584901,746
43.432181,130.558272,801
43.416384,130.556422,845
43.414402,130.59377,800
43.396199,130.580431,898
43.483995,130.682298,805
43.484602,130.781277,760
43.466767,130.681758,770
43.465673,130.768005,886
43.465033,130.817403,825
43.449672,130.657281,740
43.448884,130.680447,847
43.431258,130.655395,800
43.43064,130.705408,965
43.430513,130.756583,825
43.41339,130.642376,920
43.39697,130.631293,890
43.461467,131.015638,700
43.473778,130.126159,569
43.398941,130.396026,620
43.380222,130.419943,696
43.344505,130.394531,731
43.310382,130.258746,750
43.272374,130.380996,791
43.255786,130.305834,720
43.50658,130.410647,579
43.506428,130.436537,550
43.45109,130.546452,850
43.397668,130.470267,842
43.37828,130.555385,790
43.360472,130.555683,765
43.307335,130.504989,862
43.305988,130.516381,885
43.39441,130.703762,1002
43.376291,130.728377,953
43.339231,130.716091,777
43.322037,130.703032,753
43.286207,130.677945,550
43.268945,130.675993,620
43.267391,130.750308,602
43.356674,130.814091,775
43.276445,130.060167,670
43.164392,130.426997,396
43.598647,130.252058,584
43.631507,130.487925,692
43.523375,130.497634,718
43.449827,130.594502,726
43.432269,130.569624,868
43.395688,130.569161,892
43.413514,130.668011,930
43.412288,130.691448,1000
43.444928,130.940515,795
43.421042,130.09946,577
43.329206,130.172026,570
43.381583,130.358249,655
43.342522,130.567125,840
43.376694,130.705117,1047
43.358945,130.641795,880
43.287044,130.690757,570
43.251832,130.640786,840
